MMSI,vessel_name,vessel_type,timestamp,latitude,longitude,SOG,COG,heading
100000000,Synthetic Vessel 1,,2025-01-01 00:00:00+00:00,13.077681604753897,80.2937285722564,10.394633936788146,92.31993941811405,92.31993941811405
100000000,Synthetic Vessel 1,,2025-01-01 00:06:00+00:00,13.077681604753897,80.2987285722564,8.623978081344811,86.56018640442437,86.56018640442437
100000000,Synthetic Vessel 1,,2025-01-01 00:12:00+00:00,13.077681604753897,80.30372857225639,11.46470458309974,85.580836121682,85.580836121682
100000000,Synthetic Vessel 1,,2025-01-01 00:18:00+00:00,13.077681604753897,80.30872857225638,10.83229031118418,91.0111501174321,91.0111501174321
100000000,Synthetic Vessel 1,,2025-01-01 00:24:00+00:00,13.077681604753897,80.31372857225638,11.879639408647977,85.20584494295802,85.20584494295802
100000000,Synthetic Vessel 1,,2025-01-01 00:30:00+00:00,13.077681604753897,80.31872857225638,8.849356442713106,93.3244264080042,93.3244264080042
100000000,Synthetic Vessel 1,,2025-01-01 00:36:00+00:00,13.077681604753897,80.32372857225637,8.733618039413734,86.818249672071,86.818249672071
100000000,Synthetic Vessel 1,,2025-01-01 00:42:00+00:00,13.077681604753897,80.32872857225637,10.099025726528952,88.04242242959538,88.04242242959538
100000000,Synthetic Vessel 1,,2025-01-01 00:48:00+00:00,13.077681604753897,80.33372857225636,9.164916560792168,89.31945018642116,89.31945018642116
100000000,Synthetic Vessel 1,,2025-01-01 00:54:00+00:00,13.077681604753897,80.33872857225636,8.557975442608168,91.1185289472238,91.1185289472238
100000000,Synthetic Vessel 1,,2025-01-01 01:00:00+00:00,13.077681604753897,80.34372857225635,9.465447373174769,87.92144648535218,87.92144648535218
100000000,Synthetic Vessel 1,,2025-01-01 01:06:00+00:00,13.077681604753897,80.34872857225635,11.140703845572055,89.56069984217037,89.56069984217037
100000000,Synthetic Vessel 1,,2025-01-01 01:12:00+00:00,13.077681604753897,80.35372857225634,10.056937753654449,86.9967378215836,86.9967378215836
100000000,Synthetic Vessel 1,,2025-01-01 01:18:00+00:00,13.077681604753897,80.35872857225634,8.185801650879991,90.92414568862044,90.92414568862044
